# pixel_index	counts_u16	rel_intensity
297.000000	1221	0.0186312657
298.000000	1056	0.0161135271
299.000000	1084	0.0165407797
300.000000	1396	0.0213015946
301.000000	1181	0.0180209049
302.000000	1374	0.0209658961
303.000000	1015	0.0154879072
304.000000	1372	0.0209353780
305.000000	1465	0.0223544671
306.000000	1395	0.0212863355
307.000000	1111	0.0169527733
308.000000	1102	0.0168154421
309.000000	979	0.0149385824
310.000000	1441	0.0219882506
311.000000	1320	0.0201419089
312.000000	1179	0.0179903868
313.000000	1291	0.0196993973
314.000000	1259	0.0192111086
315.000000	1230	0.0187685969
316.000000	1239	0.0189059281
317.000000	987	0.0150606546
318.000000	1207	0.0184176394
319.000000	1082	0.0165102617
320.000000	1351	0.0206149386
321.000000	1338	0.0204165713
322.000000	1366	0.0208438239
323.000000	1346	0.0205386435
324.000000	1083	0.0165255207
325.000000	1221	0.0186312657
326.000000	1309	0.0199740597
327.000000	1028	0.0156862745
328.000000	1373	0.0209506371
329.000000	1151	0.0175631342
330.000000	1398	0.0213321126
331.000000	1147	0.0175020981
332.000000	1255	0.0191500725
333.000000	1389	0.0211947814
334.000000	850	0.0129701686
335.000000	1233	0.0188143740
336.000000	1337	0.0204013123
337.000000	1684	0.0256961929
338.000000	1399	0.0213473716
339.000000	1651	0.0251926452
340.000000	1181	0.0180209049
341.000000	1383	0.0211032273
342.000000	1125	0.0171663996
343.000000	1217	0.0185702296
344.000000	1559	0.0237888151
345.000000	1648	0.0251468681
346.000000	1240	0.0189211872
347.000000	1352	0.0206301976
348.000000	1337	0.0204013123
349.000000	1565	0.0238803693
350.000000	1195	0.0182345312
351.000000	1313	0.0200350958
352.000000	1018	0.0155336843
353.000000	1341	0.0204623484
354.000000	1336	0.0203860533
355.000000	1266	0.0193179217
356.000000	1399	0.0213473716
357.000000	1188	0.0181277180
358.000000	1075	0.0164034485
359.000000	983	0.0149996185
360.000000	1225	0.0186923018
361.000000	1382	0.0210879683
362.000000	1405	0.0214389258
363.000000	1559	0.0237888151
364.000000	1193	0.0182040131
365.000000	1275	0.0194552529
366.000000	1315	0.0200656138
367.000000	1342	0.0204776074
368.000000	1178	0.0179751278
369.000000	1234	0.0188296330
370.000000	1447	0.0220798047
371.000000	1157	0.0176546883
372.000000	1389	0.0211947814
