# pixel_index	counts_u16	rel_intensity
261.000000	2393	0.0365148394
262.000000	2243	0.0342259861
263.000000	2045	0.0312046998
264.000000	2410	0.0367742428
265.000000	2331	0.0355687800
266.000000	2250	0.0343327993
267.000000	2076	0.0316777295
268.000000	2092	0.0319218738
269.000000	2436	0.0371709773
270.000000	2398	0.0365911345
271.000000	2419	0.0369115740
272.000000	2217	0.0338292515
273.000000	2290	0.0349431601
274.000000	1869	0.0285191119
275.000000	2276	0.0347295338
276.000000	2304	0.0351567864
277.000000	2096	0.0319829099
278.000000	2313	0.0352941176
279.000000	2348	0.0358281834
280.000000	2166	0.0330510414
281.000000	2171	0.0331273365
282.000000	2346	0.0357976654
283.000000	2491	0.0380102235
284.000000	2434	0.0371404593
285.000000	2287	0.0348973831
286.000000	2359	0.0359960327
287.000000	2278	0.0347600519
288.000000	2541	0.0387731746
289.000000	2206	0.0336614023
290.000000	2286	0.0348821241
291.000000	2457	0.0374914168
292.000000	2531	0.0386205844
293.000000	2269	0.0346227207
294.000000	2386	0.0364080262
295.000000	2641	0.0402990768
296.000000	2329	0.0355382620
297.000000	2509	0.0382848859
298.000000	2123	0.0323949035
299.000000	2226	0.0339665827
300.000000	2412	0.0368047608
301.000000	2171	0.0331273365
302.000000	2344	0.0357671473
303.000000	2526	0.0385442893
304.000000	2343	0.0357518883
305.000000	2579	0.0393530175
306.000000	2290	0.0349431601
307.000000	2447	0.0373388266
308.000000	2265	0.0345616846
309.000000	2491	0.0380102235
310.000000	2267	0.0345922026
311.000000	2296	0.0350347143
312.000000	2105	0.0321202411
313.000000	2083	0.0317845426
314.000000	2358	0.0359807736
315.000000	2280	0.0347905699
316.000000	2327	0.0355077440
317.000000	2489	0.0379797055
318.000000	2458	0.0375066758
319.000000	2306	0.0351873045
320.000000	2236	0.0341191730
321.000000	2429	0.0370641642
322.000000	2344	0.0357671473
323.000000	2454	0.0374456397
324.000000	2274	0.0346990158
325.000000	2390	0.0364690623
326.000000	2894	0.0441596094
327.000000	2291	0.0349584192
328.000000	2147	0.0327611200
329.000000	2412	0.0368047608
330.000000	2266	0.0345769436
331.000000	2349	0.0358434424
332.000000	2078	0.0317082475
333.000000	2327	0.0355077440
334.000000	2086	0.0318303197
