# pixel_index	counts_u16	rel_intensity
796.000000	1404	0.0214236667
797.000000	1878	0.0286564431
798.000000	1459	0.0222629129
799.000000	1700	0.0259403372
800.000000	1730	0.0263981079
801.000000	1442	0.0220035096
802.000000	1744	0.0266117342
803.000000	1487	0.0226901656
804.000000	1611	0.0245822843
805.000000	1602	0.0244449531
806.000000	1689	0.0257724880
807.000000	1521	0.0232089723
808.000000	1745	0.0266269932
809.000000	1761	0.0268711376
810.000000	1804	0.0275272755
811.000000	1898	0.0289616236
812.000000	1780	0.0271610590
813.000000	1714	0.0261539635
814.000000	2103	0.0320897230
815.000000	1822	0.0278019379
816.000000	1932	0.0294804303
817.000000	1777	0.0271152819
818.000000	2529	0.0385900664
819.000000	9880	0.1507591363
820.000000	10024	0.1529564355
821.000000	1798	0.0274357214
822.000000	1688	0.0257572290
823.000000	1643	0.0250705730
824.000000	1649	0.0251621271
825.000000	1955	0.0298313878
826.000000	1629	0.0248569467
827.000000	1912	0.0291752499
828.000000	2044	0.0311894408
829.000000	2014	0.0307316701
830.000000	2305	0.0351720455
831.000000	3936	0.0600595102
832.000000	14832	0.2263218128
833.000000	52800	0.8056763561
834.000000	39963	0.6097962921
835.000000	1926	0.0293888762
836.000000	1793	0.0273594263
837.000000	2423	0.0369726101
838.000000	4714	0.0719310292
839.000000	2307	0.0352025635
840.000000	1834	0.0279850462
841.000000	1834	0.0279850462
842.000000	1643	0.0250705730
843.000000	1522	0.0232242313
844.000000	1473	0.0224765393
845.000000	1705	0.0260166323
846.000000	1541	0.0235141527
847.000000	1537	0.0234531167
848.000000	1610	0.0245670253
849.000000	1687	0.0257419699
850.000000	1690	0.0257877470
851.000000	1893	0.0288853285
852.000000	1868	0.0285038529
853.000000	1825	0.0278477150
854.000000	1857	0.0283360037
855.000000	1630	0.0248722057
856.000000	1400	0.0213626307
857.000000	1362	0.0207827878
858.000000	1660	0.0253299763
859.000000	1714	0.0261539635
860.000000	1792	0.0273441672
861.000000	1513	0.0230869001
862.000000	1685	0.0257114519
863.000000	1740	0.0265506981
864.000000	1827	0.0278782330
865.000000	1722	0.0262760357
866.000000	1699	0.0259250782
867.000000	1624	0.0247806516
868.000000	1642	0.0250553140
869.000000	1601	0.0244296941
870.000000	1805	0.0275425345
871.000000	1629	0.0248569467
872.000000	1783	0.0272068360
873.000000	1774	0.0270695048
874.000000	1756	0.0267948425
875.000000	1698	0.0259098192
876.000000	1840	0.0280766003
877.000000	1625	0.0247959106
878.000000	1561	0.0238193332
879.000000	1722	0.0262760357
880.000000	1604	0.0244754711
881.000000	1514	0.0231021592
882.000000	1693	0.0258335241
883.000000	1481	0.0225986114
884.000000	1338	0.0204165713
885.000000	1794	0.0273746853
886.000000	1516	0.0231326772
887.000000	1815	0.0276951247
888.000000	1634	0.0249332418
889.000000	1692	0.0258182650
890.000000	1881	0.0287022202
891.000000	1722	0.0262760357
892.000000	1872	0.0285648890
893.000000	1793	0.0273594263
894.000000	1567	0.0239108873
895.000000	1633	0.0249179828
896.000000	1886	0.0287785153
897.000000	1425	0.0217441062
898.000000	1625	0.0247959106
899.000000	1541	0.0235141527
900.000000	1517	0.0231479362
901.000000	1731	0.0264133669
902.000000	1687	0.0257419699
903.000000	1499	0.0228732738
904.000000	1825	0.0278477150
905.000000	1502	0.0229190509
906.000000	1806	0.0275577935
907.000000	1731	0.0264133669
908.000000	1553	0.0236972610
909.000000	1155	0.0176241703
910.000000	1489	0.0227206836
911.000000	1536	0.0234378576
912.000000	1598	0.0243839170
913.000000	1838	0.0280460822
